Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
PHL  325K ETHICAL THEORIES         ,40540,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PMA 7.112',)",Face-to-face,"BONEVAC, DANIEL A",open,EthicsWriting,
PHL  342T ADVANCED POLITICAL PHILOSOPHY         ,40595,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('GAR 2.124',)",Face-to-face,"SARKAR, SAHOTRA",open,,
PHL  365 SPINOZA'S PHILOSPHCAL SYSTEMS         ,40650,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('WAG 308',)",Face-to-face,"SCHECHTMAN, ANAT",open,,
PHY  302L GEN PHY TCH CRS: ELEC/LGHT/NUC         ,55085,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAI 4.42',)",Face-to-face,"DITMIRE, TODD",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317K GENERAL PHYSICS I         ,55925,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('W', '2:00 p.m.-3:00 p.m.'))","('PAI 2.48', 'PMA 7.116')",Face-to-face,"TSOI, MAXIM",closed,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317K GENERAL PHYSICS I         ,55930,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('W', '3:00 p.m.-4:00 p.m.'))","('PAI 2.48', 'PMA 7.116')",Face-to-face,"TSOI, MAXIM",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317K GENERAL PHYSICS I         ,55935,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('W', '4:00 p.m.-5:00 p.m.'))","('PAI 2.48', 'PMA 7.116')",Face-to-face,"TSOI, MAXIM",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317K GENERAL PHYSICS I         ,55940,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('W', '5:00 p.m.-6:00 p.m.'))","('PAI 2.48', 'PMA 7.116')",Face-to-face,"TSOI, MAXIM",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  336K CLASSICAL DYNAMICS         ,56035,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PMA 7.104',)",Face-to-face,"MATZNER, RICHARD A",open,,
PHY  385S SEMINAR IN STATISTICAL PHYSICS         ,56170,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PMA 11.204',)",Face-to-face,"LAI, KEJIREICHL, LINDA E",open,,
PHY  392S SEMINAR IN SOLID-STATE PHYSICS         ,56225,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PMA 11.204',)",Face-to-face,"REICHL, LINDA ELAI, KEJI",open,,
POR  328C INTRO TO LIT/CUL         ,43655,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('BEN 1.102',)",Face-to-face,"PERRINE, ALIDA LOUISA",open,Global Cultures,
PSY  306 INTRO TO HUMAN SEXUALITY         ,41120,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 0.130',)",Face-to-face,"BUSS, DAVID MMESTON, CINDY M",open,,Social and Behavioral Sciences
PSY  355 COGNITION         ,41325,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('BUR 220',)",Face-to-face,"GILDEN, DAVID L",open,,
PSY  355N COGNITIVE NEUROSCIENCE         ,41335,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('SEA 2.108',)",Face-to-face,"LEWIS-PEACOCK, JARROD ALA",open; reserved,Writing,
PSY  364P POSITIVE PSYCH/THE GOOD LIFE         ,41375,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('BUR 116',)",Face-to-face,"MRAZEK, ALISSA",open,,
R E  376G REAL ESTATE INVESTMENT         ,03945,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CBA 5.328',)",Face-to-face,"SALLIS, LANCE R",open,,
R S  307 INTRO TO INTERRELIGS DYNAMICS         ,41650,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","(' ',)",Face-to-face,,cancelled,Cultural DiversityGlobal Cultures,
R S  312E YOGA PAST AND PRESENT         ,41670,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('UTC 3.122',)",Face-to-face,"GUTIERREZ, ANDREA L",open,Global Cultures,
R S  361 RELG/ASTROLOGY ANC MEDITERR         ,41804,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('BUR 214',)",Face-to-face,"SMITH, GEOFFREY",open,Writing,
R S  373L SCIENCE/MAGIC/RELIGION         ,41815,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('GDC 1.406',)",Face-to-face,"CROSSON, JONATHAN",open,EthicsGlobal Cultures,
REE  301L INTRO TO RUSSIAN LITERATURE         ,42410,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAR 206',)",Face-to-face,"LIVERS, KEITH A",open,WritingGlobal Cultures,
REE  302 2-MAGIC AND POWER IN PRAGUE         ,42415,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAR 210',)",Face-to-face,"ROBERTS, JASON EDWARD",open,Global Cultures,
RHE  306 RHETORIC AND WRITING         ,42050,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('FAC 9',)",Face-to-face,,open,,English Composition
RHE  306 RHETORIC AND WRITING         ,42055,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('FAC 7',)",Face-to-face,,open,,English Composition
RHE  306 RHETORIC AND WRITING         ,42065,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAR 6',)",Face-to-face,"SHANAFELT, COLIN",open,,English Composition
RHE  309J RHETORIC OF APOLOGY         ,42150,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAR 306',)",Face-to-face,"AKINS, ERIN CLAIRE",open,Writing,English Composition
RHE  309J RHETORIC OF BOOTSTRAPPING         ,42155,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('SZB 2.222',)",Face-to-face,"ARORA, KEERTI",open,Writing,English Composition
RHE  312 WRITING IN DIGTL ENVIRONMENTS         ,42254,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAR 104',)",Face-to-face,"HOPKINS, HANNAH ROBBINS",open,Writing,
RTF  346 INTRODUCTION TO EDITING         ,09475,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('TH', '5:00 p.m.-6:30 p.m.'))","('CMB 4.114', 'CMA 4.144')",Face-to-face,"LENNON, MATT",open,Independent Inquiry,
RTF  346 INTRODUCTION TO EDITING         ,09480,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('TH', '6:30 p.m.-8:00 p.m.'))","('CMB 4.114', 'CMA 4.144')",Face-to-face,"LENNON, MATT",open,Independent Inquiry,
RTF  347D BUSINESS OF UNSCRIPTED TV         ,09515,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CMA 3.120',)",Face-to-face,"PERREN, ALISA H",open,,
RTF  347D HISTORY OF VIDEO GAMES         ,09519,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CMA 3.116',)",Face-to-face,"FONTOLAN, MARINA",cancelled,,
RTF  347F HISTORY OF VIDEO GAMES         ,09523,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CMA 3.124',)",Face-to-face,"FONTOLAN, MARINA",open,,
RTF  370 THIRD-WORLD CINEMA         ,09695,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CMA 3.116',)",Face-to-face,,cancelled,,
S S  302E HON SOC SCI: ANTHROPOLOGY         ,40875,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAR 203',)",Face-to-face,"DEITHLOFF, LETA F",open,EthicsGlobal Cultures,Social and Behavioral Sciences
S W  312 GEN SW PRAC: KNWL/VAL/SKLLS-WB         ,60040,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","(' ',)",Internet,"WHITE, BROOKE",open; reserved,Ethics,
"S W  323K SOCIAL WELF PROG, POL, AND ISS         ",60060,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('SSW 1.214',)",Face-to-face,"JORDAN, STACEY E",open; reserved,Independent InquiryWriting,
S W  334 SOCL WORK PRAC ORG AND COMM-WB         ,60120,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","(' ',)",Internet,"RHODES, DIANE MCDANIEL",open; reserved,,
SDS  320E ELEMENTS OF STATISTICS         ,56565,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '11:00 a.m.-12:00 p.m.'))","(' ', ' ')",Face-to-face,"COLLINS, SARAH M",cancelled,Independent InquiryEthicsQuantitative Reasoning,Mathematics
SDS  320E ELEMENTS OF STATISTICS         ,56570,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '4:00 p.m.-5:00 p.m.'))","('MEZ 1.306', 'FAC 101B')",Face-to-face,"COLLINS, SARAH M",open,Independent InquiryEthicsQuantitative Reasoning,Mathematics
SDS  320E ELEMENTS OF STATISTICS         ,56575,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '5:00 p.m.-6:00 p.m.'))","('MEZ 1.306', 'FAC 101B')",Face-to-face,"COLLINS, SARAH M",open,Independent InquiryEthicsQuantitative Reasoning,Mathematics
