Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
PGE  373L GEOSYS ENGR DESIGN AND ANLY         ,19405,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('W', '2:00 p.m.-3:00 p.m.'))","('CPE 2.206', 'CPE 5.126')",Face-to-face,"LOPEZ MANRIQUEZ, ALBERTO",open; reserved,Independent InquiryQuantitative ReasoningWriting,
PGE  373L GEOSYS ENGR DESIGN AND ANLY         ,19410,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('W', '3:00 p.m.-4:00 p.m.'))","('CPE 2.206', 'CPE 5.126')",Face-to-face,"LOPEZ MANRIQUEZ, ALBERTO",open; reserved,Independent InquiryQuantitative ReasoningWriting,
PGE  383 65-FORMTN EVAL UNCNVNTL RSRVRS         ,19540,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('GLT 1.102',)",Face-to-face,"HEIDARI, ZOYA",open,,
PHL  302 WORLD PHILOSOPHY         ,40275,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('WAG 308',)",Face-to-face,,open,,
PHL  304 CONTEMPORARY MORAL PROBLEMS         ,40300,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('WAG 302',)",Face-to-face,,open,Ethics,
PHL  313 INTRODUCTORY SYMBOLIC LOGIC         ,40435,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('F', '12:00 p.m.-1:00 p.m.'))","('WAG 420', 'BUR 128')",Face-to-face,"LITLAND, JON E",open,Quantitative Reasoning,Mathematics
PHL  313 INTRODUCTORY SYMBOLIC LOGIC         ,40440,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('F', '1:00 p.m.-2:00 p.m.'))","('WAG 420', 'BUR 128')",Face-to-face,"LITLAND, JON E",open,Quantitative Reasoning,Mathematics
PHL  313 INTRODUCTORY SYMBOLIC LOGIC         ,40445,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('F', '2:00 p.m.-3:00 p.m.'))","('WAG 420', 'BUR 128')",Face-to-face,"LITLAND, JON E",open,Quantitative Reasoning,Mathematics
PHL  317K INTRO TO PHILOS OF THE ARTS         ,40455,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('WAG 214',)",Face-to-face,,open,,Visual and Performing Arts
PHY  303K ENGINEERING PHYSICS I         ,55120,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TH', '2:00 p.m.-3:00 p.m.'))","('PAI 2.48', 'PMA 7.114')",Face-to-face,"MARKERT, JOHN T",closed,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  303K ENGINEERING PHYSICS I         ,55125,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TH', '3:00 p.m.-4:00 p.m.'))","('PAI 2.48', 'PMA 7.114')",Face-to-face,"MARKERT, JOHN T",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  303K ENGINEERING PHYSICS I         ,55130,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TH', '4:00 p.m.-5:00 p.m.'))","('PAI 2.48', 'PMA 7.114')",Face-to-face,"MARKERT, JOHN T",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  303K ENGINEERING PHYSICS I         ,55135,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TH', '5:00 p.m.-6:00 p.m.'))","('PAI 2.48', 'PMA 7.114')",Face-to-face,"MARKERT, JOHN T",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
NTR  307 INTRODUCTORY FOOD SCIENCE         ,52340,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('BUR 108',)",Face-to-face,"HAYS, DREW",open,,
NTR  331 INTL NTR: SOCL/ENVIR POLICIES         ,52425,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('BUR 212',)",Face-to-face,"HOCKETT COOPER, MICHELE T",open,,
P R  305S INTEGRATED COMM FOR SPORTS         ,07565,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('DMC 2.106',)",Face-to-face,"DALTHORP, JAMES A",open,,
PBH  317 INTRODUCTION TO PUBLIC HEALTH         ,51640,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('WEL 2.122',)",Face-to-face,,open,Ethics,
"PGE  301 ENGINEERING, ENERGY, THE ENVIR         ",19200,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('T', '9:00 a.m.-11:00 a.m.'))","('CPE 2.204', 'GLT 2.106')",Face-to-face,"OLSON, JON E",open; reserved,,
"PGE  301 ENGINEERING, ENERGY, THE ENVIR         ",19205,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('M', '11:00 a.m.-1:00 p.m.'))","('CPE 2.204', 'GLT 2.106')",Face-to-face,"OLSON, JON E",open; reserved,,
"PGE  301 ENGINEERING, ENERGY, THE ENVIR         ",19210,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('T', '11:00 a.m.-1:00 p.m.'))","('CPE 2.204', 'GLT 2.106')",Face-to-face,"OLSON, JON E",open; reserved,,
"PGE  301 ENGINEERING, ENERGY, THE ENVIR         ",19215,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('M', '1:00 p.m.-3:00 p.m.'))","('CPE 2.204', 'GLT 2.106')",Face-to-face,"OLSON, JON E",open; reserved,,
"PGE  301 ENGINEERING, ENERGY, THE ENVIR         ",19220,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('T', '1:00 p.m.-3:00 p.m.'))","('CPE 2.204', 'GLT 2.106')",Face-to-face,"OLSON, JON E",open; reserved,,
"PGE  301 ENGINEERING, ENERGY, THE ENVIR         ",19225,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('T', '3:30 p.m.-5:30 p.m.'))","('CPE 2.204', 'GLT 2.106')",Face-to-face,"OLSON, JON E",open; reserved,,
"PGE  301 ENGINEERING, ENERGY, THE ENVIR         ",19230,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('M', '4:00 p.m.-6:00 p.m.'))","('CPE 2.204', 'GLT 2.106')",Face-to-face,"OLSON, JON E",open; reserved,,
PGE  373L GEOSYS ENGR DESIGN AND ANLY         ,19365,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('T', '9:30 a.m.-10:30 a.m.'))","('CPE 2.206', 'CPE 5.126')",Face-to-face,"LOPEZ MANRIQUEZ, ALBERTO",open; reserved,Independent InquiryQuantitative ReasoningWriting,
PGE  373L GEOSYS ENGR DESIGN AND ANLY         ,19370,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('T', '11:00 a.m.-12:00 p.m.'))","('CPE 2.206', 'CPE 5.126')",Face-to-face,"LOPEZ MANRIQUEZ, ALBERTO",open; reserved,Independent InquiryQuantitative ReasoningWriting,
PGE  373L GEOSYS ENGR DESIGN AND ANLY         ,19375,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('W', '11:00 a.m.-12:00 p.m.'))","('CPE 2.206', 'CPE 5.126')",Face-to-face,"LOPEZ MANRIQUEZ, ALBERTO",open; reserved,Independent InquiryQuantitative ReasoningWriting,
PGE  373L GEOSYS ENGR DESIGN AND ANLY         ,19380,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('T', '12:30 p.m.-1:30 p.m.'))","('CPE 2.206', 'CPE 5.126')",Face-to-face,"LOPEZ MANRIQUEZ, ALBERTO",open; reserved,Independent InquiryQuantitative ReasoningWriting,
PGE  373L GEOSYS ENGR DESIGN AND ANLY         ,19385,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('M', '1:00 p.m.-2:00 p.m.'))","('CPE 2.206', 'CPE 5.126')",Face-to-face,"LOPEZ MANRIQUEZ, ALBERTO",open; reserved,Independent InquiryQuantitative ReasoningWriting,
M E  314D DYNAMICS         ,17985,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('F', '12:00 p.m.-1:00 p.m.'))","('GSB 2.124', 'ETC 7.146')",Face-to-face,"FEY, NICHOLAS P",open; reserved,,
M E  314D DYNAMICS         ,17990,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('F', '1:00 p.m.-2:00 p.m.'))","('GSB 2.124', 'ETC 7.111')",Face-to-face,"FEY, NICHOLAS P",open; reserved,,
M E  314D DYNAMICS         ,17995,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('F', '2:00 p.m.-3:00 p.m.'))","('GSB 2.124', 'ETC 7.146')",Face-to-face,"FEY, NICHOLAS P",open; reserved,,
M E  334 MATERIALS ENGINEERING         ,18160,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('ETC 3.112',)",Face-to-face,"ZHENG, YUEBING",open; reserved,,
M E  384N 2-ACOUSTICS II         ,18785,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('ETC 5.132',)",Face-to-face,"HAMILTON, MARK F",open; reserved,,
M E  386P 1-INTRO TO PHASE TRANSFORMATNS         ,18815,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('ECJ 1.308',)",Face-to-face,"MANGOLINI, FILIPPO",open; reserved,,
