Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
CH  376K ADVANCED ANALYTICAL CHEMISTRY         ,50435,"(('MW', '1:00 p.m.-2:00 p.m.'), ('TH', '2:00 p.m.-5:00 p.m.'))",WEL 4.124,Face-to-face,"SHEAR, JASON BHERATH, THUSHANI",open; reserved,Quantitative ReasoningIndependent InquiryWriting,
CMS  354 CONFLICT RESOLUTION         ,08275,"(('MW', '1:00 p.m.-2:00 p.m.'), ('F', '1:00 p.m.-2:00 p.m.'))",CMA 3.124,Hybrid or Blended,"BRADFORD, KATIE ELIZABETH",open,WritingIndependent InquiryEthics,
E  316N WORLD LITERATURE         ,34755,"(('MW', '1:00 p.m.-2:30 p.m.'), ('M', '3:00 p.m.-4:00 p.m.'))",BUR 134GAR 0.128,Face-to-face,"GARZA, THOMAS JESUS",open,Global Cultures,Humanities
E  316N WORLD LITERATURE         ,34760,"(('MW', '1:00 p.m.-2:30 p.m.'), ('M', '4:00 p.m.-5:00 p.m.'))",BUR 134GAR 0.128,Face-to-face,"GARZA, THOMAS JESUS",open,Global Cultures,Humanities
GEO  303 INTRODUCTION TO GEOLOGY         ,26760,"(('MW', '1:00 p.m.-2:00 p.m.'), ('W', '8:00 a.m.-10:00 a.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GEO  303 INTRODUCTION TO GEOLOGY         ,26765,"(('MW', '1:00 p.m.-2:00 p.m.'), ('M', '10:00 a.m.-12:00 p.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GEO  303 INTRODUCTION TO GEOLOGY         ,26770,"(('MW', '1:00 p.m.-2:00 p.m.'), ('TH', '10:00 a.m.-12:00 p.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GEO  303 INTRODUCTION TO GEOLOGY         ,26775,"(('MW', '1:00 p.m.-2:00 p.m.'), ('F', '10:00 a.m.-12:00 p.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GEO  303 INTRODUCTION TO GEOLOGY         ,26780,"(('MW', '1:00 p.m.-2:00 p.m.'), ('T', '12:00 p.m.-2:00 p.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GEO  303 INTRODUCTION TO GEOLOGY         ,26785,"(('MW', '1:00 p.m.-2:00 p.m.'), ('W', '2:00 p.m.-4:00 p.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GEO  303 INTRODUCTION TO GEOLOGY         ,26790,"(('MW', '1:00 p.m.-2:00 p.m.'), ('M', '4:00 p.m.-6:00 p.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GEO  303 INTRODUCTION TO GEOLOGY         ,26795,"(('MW', '1:00 p.m.-2:00 p.m.'), ('T', '4:00 p.m.-6:00 p.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GEO  303 INTRODUCTION TO GEOLOGY         ,26800,"(('MW', '1:00 p.m.-2:00 p.m.'), ('TH', '4:00 p.m.-6:00 p.m.'))",JGB 2.324JGB 2.306,Face-to-face,"KETCHAM, RICHARD ACARDENAS, MEINHARD BAYANI",open,,"Natural Science and Technology, Part I"
GOV  357E SUPREME COURT AND PUBL POLICY         ,37440,"(('MW', '1:00 p.m.-2:00 p.m.'), ('F', '1:00 p.m.-2:00 p.m.'))",TNH 2.114GAR 3.116,Face-to-face,"POWE, LUCAS A JR",open,,
GOV  357E SUPREME COURT AND PUBL POLICY         ,37445,"(('MW', '1:00 p.m.-2:00 p.m.'), ('F', '1:00 p.m.-2:00 p.m.'))",TNH 2.114JES A203A,Face-to-face,"POWE, LUCAS A JR",open,,
GOV  357E SUPREME COURT AND PUBL POLICY         ,37450,"(('MW', '1:00 p.m.-2:00 p.m.'), ('F', '1:00 p.m.-2:00 p.m.'))",TNH 2.114JES A209A,Face-to-face,"POWE, LUCAS A JR",open,,
GOV  357E SUPREME COURT AND PUBL POLICY         ,37455,"(('MW', '1:00 p.m.-2:00 p.m.'), ('F', '1:00 p.m.-2:00 p.m.'))",TNH 2.114JES A218A,Face-to-face,"POWE, LUCAS A JR",open,,
