Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
JPN  610D JAPANESE II         ,32320,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '12:30 p.m.-2:00 p.m.'))",PAR 301MEZ 1.120,Face-to-face,"SANO, RYOSUKE",open,,
KOR  607 FIRST-YEAR KOREAN II         ,32440,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '11:00 a.m.-12:30 p.m.'))",GDC 2.502WAG 420,Face-to-face,"KIM, MINA",open,,
"M  408D SEQ, SERIES, AND MULTIVAR CALC         ",53225,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '11:00 a.m.-12:00 p.m.'))",CPE 2.208CPE 2.206,Face-to-face,,open,,
"M  408D SEQ, SERIES, AND MULTIVAR CALC         ",53230,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '5:00 p.m.-6:00 p.m.'))",CPE 2.208CPE 2.204,Face-to-face,,open,,
M  408L INTEGRAL CALCULUS         ,53325,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '8:30 a.m.-9:30 a.m.'))",GSB 2.126PMA 7.104,Face-to-face,,open,Quantitative Reasoning,
M  408L INTEGRAL CALCULUS         ,53330,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '11:00 a.m.-12:00 p.m.'))",GSB 2.126ECJ 1.204,Face-to-face,,open,Quantitative Reasoning,
HIS  329U PERSPECTIVES ON SCIENCE & MATH         ,38040,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('M', '12:00 p.m.-1:00 p.m.'))",PAI 4.18PAI 4.18,Face-to-face,"RABY, MEGAN MARGARET",open; reserved,Writing,Social and Behavioral Sciences
JPN  601D JAPANESE I         ,32275,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '9:30 a.m.-11:00 a.m.'))",PAR 306CBA 4.344,Face-to-face,"SUTO, SAORI",open,,
JPN  610D JAPANESE II         ,32315,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '12:30 p.m.-2:00 p.m.'))",CBA 4.340BEN 1.122,Face-to-face,"COOKE, CHIKAKO H",open,,
C E  311K INTRO TO COMPUTER METHODS         ,15820,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '4:00 p.m.-6:00 p.m.'))",CPE 2.212ECJ 2.210,Face-to-face,"LILJESTRAND, HOWARD M",open; reserved,,
C E  357 GEOTECHNICAL ENGINEERING         ,16060,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TH', '8:00 a.m.-11:00 a.m.'))",ECJ 1.204ECJ B.140,Face-to-face,"KUMAR, KRISHNA",open; reserved,,
C E  357 GEOTECHNICAL ENGINEERING         ,16065,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('M', '12:00 p.m.-3:00 p.m.'))",ECJ 1.204ECJ B.140,Face-to-face,"KUMAR, KRISHNA",open; reserved,,
C E  357 GEOTECHNICAL ENGINEERING         ,16070,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('M', '3:00 p.m.-6:00 p.m.'))",ECJ 1.204ECJ B.140,Face-to-face,"KUMAR, KRISHNA",open; reserved,,
C E  357 GEOTECHNICAL ENGINEERING         ,16075,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '3:00 p.m.-6:00 p.m.'))",ECJ 1.204ECJ B.140,Face-to-face,"KUMAR, KRISHNA",open; reserved,,
CHE  473K PROCESS DESIGN AND OPERATIONS         ,15415,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '1:00 p.m.-3:00 p.m.'))",CPE 2.216CPE 2.212,Face-to-face,"DALLE MOLLE, DAVID T",open; reserved,Independent Inquiry,
CHE  473K PROCESS DESIGN AND OPERATIONS         ,15420,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '1:00 p.m.-3:00 p.m.'))",CPE 2.220UTC 4.122,Face-to-face,"ELDRIDGE, ROBERT B",open; reserved,Independent Inquiry,
CHI  606 FIRST-YEAR CHINESE I         ,32070,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '11:00 a.m.-12:30 p.m.'))",MEZ 1.118PAR 306,Face-to-face,"CHANG, CHIH-WEI",open,,
CHI  607 FIRST-YEAR CHINESE II         ,32095,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '11:00 a.m.-12:30 p.m.'))",GAR 2.124GAR 3.116,Face-to-face,"LIU, YONGFENG",open,,
BIO  311D INTRODUCTORY BIOLOGY II         ,47580,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('F', '10:00 a.m.-11:00 a.m.'))",WEL 2.122GDC 2.410,Face-to-face,"BUSKIRK, RUTH E",open,,"Natural Science and Technology, Part I"
