Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50020,"(('TH', '5:00 p.m.-6:00 p.m.'), ('M', '6:30 p.m.-10:30 p.m.'))",,Face-to-face,"FJETLAND, CONRAD R",cancelled,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50025,"(('TH', '5:00 p.m.-6:00 p.m.'), ('M', '6:30 p.m.-10:30 p.m.'))",,Face-to-face,"FJETLAND, CONRAD R",cancelled,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50030,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '6:30 p.m.-10:30 p.m.'))",WEL 2.224NHB 1.102,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50035,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '6:30 p.m.-10:30 p.m.'))",WEL 2.224NHB 1.106,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50040,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '6:30 p.m.-10:30 p.m.'))",WEL 2.224NHB 1.110,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50045,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '6:30 p.m.-10:30 p.m.'))",WEL 2.224NHB 1.116,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50050,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '6:30 p.m.-10:30 p.m.'))",WEL 2.224NHB 1.118,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50055,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '6:30 p.m.-10:30 p.m.'))",WEL 2.224NHB 1.124,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,50060,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '6:30 p.m.-10:30 p.m.'))",WEL 2.224NHB 1.126,Face-to-face,"FJETLAND, CONRAD R",open,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18085,"(('TH', '5:00 p.m.-6:00 p.m.'), ('W', '10:00 a.m.-12:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18090,"(('TH', '5:00 p.m.-6:00 p.m.'), ('F', '10:00 a.m.-12:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18095,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '12:00 p.m.-2:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18100,"(('TH', '5:00 p.m.-6:00 p.m.'), ('W', '12:00 p.m.-2:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18105,"(('TH', '5:00 p.m.-6:00 p.m.'), ('TH', '12:00 p.m.-2:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18110,"(('TH', '5:00 p.m.-6:00 p.m.'), ('F', '12:00 p.m.-2:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18115,"(('TH', '5:00 p.m.-6:00 p.m.'), ('W', '2:00 p.m.-4:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18120,"(('TH', '5:00 p.m.-6:00 p.m.'), ('TH', '2:00 p.m.-4:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18125,"(('TH', '5:00 p.m.-6:00 p.m.'), ('F', '4:00 p.m.-6:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18130,"(('TH', '5:00 p.m.-6:00 p.m.'), ('T', '6:00 p.m.-8:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18135,"(('TH', '5:00 p.m.-6:00 p.m.'), ('W', '6:00 p.m.-8:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
M E  130L EXPERIMENTAL FLUID MECHANICS         ,18140,"(('TH', '5:00 p.m.-6:00 p.m.'), ('TH', '6:00 p.m.-8:00 p.m.'))",CPE 2.208ETC 1.204,Face-to-face,"BEN-YAKAR, ADELA",open; reserved,,
UTL  360 PROBS/PRINS OF SEC EDUC-LOTE         ,30225,"(('TH', '5:00 p.m.-6:30 p.m.'), ('TH', '6:30 p.m.-8:00 p.m.'))",RLP 1.104RLP 0.124,Hybrid or Blended,"BIGGERSTAFF HAUG, JULIA AWILSON, NINA CNGUYEN, DAN QUOC",open,,
UTL  360 PROBS/PRINS SEC ED-SOC STUDIES         ,30230,"(('TH', '5:00 p.m.-6:30 p.m.'), ('TH', '6:30 p.m.-8:00 p.m.'))",RLP 1.104RLP 0.104,Hybrid or Blended,"BIGGERSTAFF HAUG, JULIA AWILSON, NINA CNGUYEN, DAN QUOC",open,,
UTL  360 PROBS/PRINS SEC EDUC-ENGLISH         ,30235,"(('TH', '5:00 p.m.-6:30 p.m.'), ('TH', '6:30 p.m.-8:00 p.m.'))",RLP 1.104RLP 1.102,Hybrid or Blended,"BIGGERSTAFF HAUG, JULIA AWILSON, NINA CNGUYEN, DAN QUOC",open,,
EVS  311 FIELD SMNR IN SUSTAINABILITY         ,26480,"(('TH', '6:00 p.m.-7:00 p.m.'), ('M', '1:00 p.m.-6:00 p.m.'))",WAG 420CPE 2.218,Face-to-face,"POTEET, MARY FSHANAHAN, TIMOTHY MICHAEL",open; reserved,,
EVS  311 FIELD SMNR IN SUSTAINABILITY         ,26485,"(('TH', '6:00 p.m.-7:00 p.m.'), ('M', '1:00 p.m.-6:00 p.m.'))",WAG 420CPE 2.218,Face-to-face,"POTEET, MARY FSHANAHAN, TIMOTHY MICHAEL",open; reserved,,
